	OTU5	OTU6	OTU7	OTU11	OTU13	OTU22	OTU32	OTU33	OTU41	OTU44	OTU46	OTU51	OTU53	OTU55	OTU56	OTU58	OTU59	OTU61	OTU62	OTU63	OTU71	OTU75	OTU99
Kruskal_pvalue	0.005158957570721308	0.0031970994479345533	0.0011520450981421793	0.028365505605210242	0.0031970994479345533	0.012611144099313912	0.015564411386633845	0.015564411386633845	0.04125001659393966	0.008150971593502705	0.015564411386633845	0.006501702373081832	0.04936619475193269	0.008150971593502705	0.015564411386633845	0.01910992220684442	0.015564411386633845	0.005158957570721308	0.02334220201289096	0.010165201891956268	0.012611144099313912	0.005158957570721308	0.04125001659393966
CN_mean	0.02124906551969325	0.014598225701651053	0.05980686666060333	0.01297594104397736	0.022813862290054877	0.002338445709464508	0.01992834166938054	0.006402094929888887	0.002369117151091577	0.007782475391760311	0.010068792909815955	0.001063009157593019	0.0028890912188351907	0.002593001668203798	0.001621854924717396	0.001171002821264594	0.0016355803986302102	0.001796798988387165	0.0014209114195833077	0.0017818011322803932	0.0016401120140092454	0.0024377005952390908	0.0013120119331639546
CMC_mean	0.050589516875882236	0.030435838633000083	0.012546740798197393	0.023590673258601952	0.008164579929152253	0.005596140476974654	0.005594760494447094	0.01708082897035263	0.020671719313976607	0.0026872684322504985	0.003461902186352648	0.0052144568594558755	0.005840470352122302	0.007798604750925202	0.006562556317009448	0.0029360555481554554	0.0035441230658910796	0.00845516869761148	0.006126909834651058	0.00440257804402183	0.004186843844417455	0.006089790237728591	0.003611546086730248
