,0
OTU560,69
OTU376,68
OTU317,67
OTU613,67
OTU521,66
OTU190,66
OTU630,65
OTU529,64
OTU526,64
OTU598,63
OTU635,63
OTU415,63
OTU514,62
OTU444,62
OTU151,61
OTU487,61
OTU551,61
OTU680,60
OTU359,60
OTU414,59
OTU525,59
OTU548,57
OTU301,57
OTU435,57
OTU528,56
OTU559,56
OTU493,55
OTU369,55
OTU310,55
OTU324,55
OTU481,54
OTU640,54
OTU370,54
OTU621,53
OTU469,53
OTU517,53
OTU567,53
OTU813,52
OTU518,52
OTU546,52
OTU578,50
OTU626,50
OTU717,50
OTU712,49
OTU250,49
OTU285,48
OTU427,48
OTU412,48
OTU441,47
OTU503,46
OTU426,45
OTU374,45
OTU623,45
OTU605,44
OTU538,44
OTU672,43
OTU697,43
OTU462,43
OTU616,43
OTU583,43
OTU542,43
OTU516,43
OTU766,43
OTU572,42
OTU483,42
OTU636,42
OTU587,41
OTU655,40
OTU480,40
OTU291,40
OTU723,39
OTU540,39
OTU950,39
OTU509,38
OTU140,38
OTU753,38
OTU595,37
OTU576,36
OTU887,36
OTU725,36
OTU660,36
OTU470,36
OTU642,36
OTU519,36
OTU664,36
OTU472,35
OTU410,35
OTU392,35
OTU390,35
OTU617,35
OTU665,35
OTU520,35
OTU547,35
OTU586,35
OTU569,34
OTU565,34
OTU683,34
OTU610,33
OTU682,33
OTU417,33
OTU456,33
OTU566,33
OTU599,33
OTU533,33
OTU591,33
OTU850,33
OTU553,33
OTU552,32
OTU590,32
OTU574,32
OTU596,32
OTU328,32
OTU451,32
OTU593,31
OTU763,31
OTU523,31
OTU675,30
OTU389,30
OTU584,30
OTU714,30
OTU693,30
OTU812,30
OTU581,29
OTU631,29
OTU539,29
OTU397,28
OTU688,28
OTU622,27
OTU668,27
OTU769,27
OTU330,27
OTU653,27
OTU873,27
OTU549,27
OTU488,26
OTU690,26
OTU721,26
OTU550,26
OTU937,26
OTU604,26
OTU536,26
OTU807,25
OTU454,25
OTU639,25
OTU657,25
OTU854,25
OTU729,24
OTU260,24
OTU561,24
OTU708,24
OTU701,24
OTU667,24
OTU707,24
OTU747,23
OTU746,23
OTU624,23
OTU438,23
OTU650,23
OTU492,23
OTU557,23
OTU568,23
OTU501,22
OTU579,22
OTU425,22
OTU685,22
OTU805,22
OTU628,22
OTU634,21
OTU770,21
OTU686,21
OTU781,21
OTU663,20
OTU694,20
OTU1072,20
OTU677,20
OTU637,20
OTU558,20
OTU562,20
OTU467,20
