,0
OTU657,67
OTU556,67
OTU521,66
OTU517,66
OTU649,65
OTU547,65
OTU294,65
OTU690,65
OTU616,64
OTU689,64
OTU539,63
OTU629,63
OTU433,62
OTU498,62
OTU325,61
OTU627,61
OTU590,61
OTU522,60
OTU613,60
OTU151,60
OTU284,59
OTU529,59
OTU378,58
OTU126,57
OTU548,56
OTU603,56
OTU552,55
OTU466,54
OTU330,54
OTU490,54
OTU572,54
OTU309,54
OTU497,53
OTU640,53
OTU357,52
OTU587,51
OTU799,51
OTU598,50
OTU510,50
OTU876,50
OTU617,49
OTU735,49
OTU727,49
OTU581,49
OTU458,49
OTU712,49
OTU663,49
OTU451,48
OTU673,48
OTU369,47
OTU568,47
OTU520,47
OTU395,46
OTU551,46
OTU674,45
OTU604,45
OTU543,44
OTU694,43
OTU216,43
OTU592,43
OTU439,41
OTU583,41
OTU472,40
OTU328,40
OTU509,40
OTU516,39
OTU421,39
OTU591,39
OTU661,38
OTU386,38
OTU515,38
OTU550,38
OTU610,38
OTU417,38
OTU239,37
OTU660,37
OTU526,37
OTU695,36
OTU565,36
OTU576,36
OTU400,36
OTU707,36
OTU701,35
OTU496,35
OTU633,34
OTU586,33
OTU430,33
OTU321,32
OTU688,32
OTU488,32
OTU544,32
OTU692,31
OTU595,31
OTU722,31
OTU473,30
OTU639,30
OTU573,29
OTU834,29
OTU406,28
OTU459,28
OTU626,28
OTU675,27
OTU635,27
OTU693,26
OTU770,26
OTU665,26
OTU810,26
OTU608,26
OTU619,26
OTU265,26
OTU819,24
OTU525,24
OTU784,23
OTU764,23
OTU913,23
OTU479,23
OTU463,23
OTU655,23
OTU749,22
OTU450,22
OTU783,22
OTU889,22
OTU716,22
OTU225,22
OTU493,22
OTU798,21
OTU860,21
OTU684,21
OTU442,21
OTU700,21
OTU545,21
OTU816,21
OTU677,20
OTU804,20
OTU955,20
OTU847,20
OTU777,20
OTU542,20
OTU549,20
OTU438,20
OTU782,20
OTU882,19
OTU756,19
OTU744,19
OTU698,19
OTU456,19
OTU470,19
OTU1073,19
OTU676,19
OTU714,19
OTU894,19
OTU643,19
OTU862,19
OTU664,18
OTU796,18
OTU637,18
OTU553,18
OTU759,17
OTU851,17
OTU848,17
OTU546,17
OTU432,17
OTU780,17
OTU575,17
OTU745,17
OTU588,17
OTU696,17
OTU667,16
OTU869,16
OTU733,16
OTU622,16
OTU653,16
OTU725,16
OTU729,16
OTU682,16
OTU841,16
OTU842,16
OTU740,15
OTU557,15
OTU1104,15
OTU811,15
OTU213,15
OTU754,15
OTU781,15
OTU506,15
OTU966,15
OTU679,15
OTU771,15
OTU630,15
OTU728,15
OTU1053,15
OTU805,14
OTU702,14
OTU579,14
OTU826,14
OTU760,14
OTU467,14
OTU646,13
OTU668,13
OTU691,13
OTU736,13
OTU295,13
OTU752,13
OTU746,13
OTU624,13
OTU785,13
OTU836,13
OTU567,13
OTU605,13
OTU514,12
OTU828,12
OTU881,12
OTU569,12
OTU483,12
OTU593,12
OTU747,12
OTU854,12
OTU772,12
OTU896,12
OTU678,12
OTU717,12
OTU721,11
OTU724,11
OTU1138,11
OTU697,11
OTU631,11
OTU776,11
OTU1098,11
OTU293,11
OTU856,11
OTU478,11
OTU715,11
OTU512,11
OTU1021,11
OTU397,11
OTU773,11
OTU809,11
OTU221,11
OTU1002,10
OTU941,10
OTU585,10
OTU651,10
OTU389,10
OTU866,10
OTU596,10
OTU402,10
OTU753,10
OTU829,10
OTU609,10
OTU807,10
OTU769,10
OTU618,10
OTU766,10
OTU891,9
OTU801,9
OTU1133,9
OTU1109,9
OTU820,9
OTU1027,9
OTU1009,9
OTU900,9
OTU723,9
OTU730,9
OTU886,9
OTU703,9
OTU892,9
OTU563,9
OTU615,9
OTU824,8
OTU600,8
OTU662,8
OTU846,8
OTU638,8
OTU839,8
OTU153,8
OTU720,8
OTU880,8
OTU672,8
OTU1043,8
OTU911,8
OTU656,8
OTU461,8
OTU958,8
OTU957,8
OTU757,8
OTU584,7
OTU861,7
OTU762,7
OTU650,7
OTU875,7
OTU1250,7
OTU928,7
OTU644,7
OTU802,7
OTU1024,7
OTU1229,7
OTU535,7
OTU621,7
OTU808,7
OTU699,7
OTU628,7
OTU1078,7
OTU815,7
OTU817,7
OTU800,7
OTU1041,7
OTU1039,7
OTU1033,7
OTU850,7
OTU821,6
OTU830,6
OTU812,6
OTU469,6
OTU648,6
OTU903,6
OTU1105,6
OTU998,6
OTU982,6
OTU1101,6
OTU706,6
OTU1111,6
OTU1066,6
OTU1336,6
OTU339,6
OTU558,6
OTU1342,6
OTU1034,6
OTU683,6
OTU952,6
OTU750,6
OTU953,6
OTU962,6
OTU975,6
OTU666,6
OTU961,6
OTU1147,5
OTU1400,5
OTU833,5
OTU918,5
OTU1120,5
OTU1057,5
OTU1152,5
OTU1119,5
OTU1206,5
OTU943,5
OTU1037,5
OTU1197,5
OTU895,5
OTU1128,5
OTU1131,5
OTU1008,5
OTU855,5
OTU1140,5
OTU946,5
OTU589,5
OTU867,5
OTU1188,5
OTU995,5
OTU989,5
OTU1145,5
OTU1146,5
OTU1274,5
OTU1160,5
OTU904,5
OTU711,5
OTU713,5
OTU705,5
OTU669,5
OTU375,5
OTU1242,5
OTU1011,4
OTU1060,4
OTU1339,4
OTU1048,4
OTU1046,4
OTU1126,4
OTU1028,4
OTU1132,4
OTU774,4
