OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1027	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus azizii
OTU1028	Bacteria	Firmicutes	Bacilli	RF39	uncultured rumen bacterium	?	?
OTU1029	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured soil bacterium
OTU1030	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1031	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	?
OTU1032	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	uncultured Bacteroidetes bacterium
OTU1033	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1034	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae NK3B31 group	?
OTU1035	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	uncultured rumen bacterium
OTU1036	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Lactobacillus fermentum
OTU1037	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1038	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter fluminis
OTU1039	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
OTU1040	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp.
OTU1041	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Lactobacillus reuteri
OTU1042	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	?
OTU1043	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	?	?
OTU1044	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
OTU1045	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	?	?
OTU1046	Bacteria	Firmicutes	Bacilli	RF39	uncultured Firmicutes bacterium	?	?
OTU1047	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1048	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU1049	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1050	Bacteria	Bacteroidota	?	?	?	?	?
OTU1051	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU1052	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1053	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	bacterium 'New
OTU1054	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Polycyclovorans	?
OTU1055	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU1056	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azovibrio	?
OTU1057	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	?
OTU1058	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1059	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
OTU1060	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	?	?
OTU1061	Bacteria	Firmicutes	Bacilli	RF39	uncultured rumen bacterium	?	?
OTU1062	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1063	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	gut metagenome	?
OTU1064	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1065	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	?	?
OTU1066	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
OTU1067	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU1068	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU1069	Bacteria	Myxococcota	bacteriap25	uncultured Myxococcales bacterium	?	?	?
OTU1070	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1071	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
OTU1072	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	?
OTU1073	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Rodentibacter	Pasteurellaceae bacterium
OTU1074	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	?	?	?
OTU1075	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1076	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1077	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	?	?
OTU1078	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
OTU1079	Bacteria	Firmicutes	Bacilli	RF39	uncultured Firmicutes bacterium	?	?
OTU1080	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU1081	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	?
OTU1082	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ruminiclostridium	?
OTU1083	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	?	?	?
OTU1084	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	?	?
OTU1085	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	?	?
OTU1086	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1087	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
OTU1088	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1089	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU1090	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	uncultured Bacteroidales bacterium
OTU1091	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	uncultured rumen bacterium	?
OTU1092	Bacteria	Spirochaetota	?	?	?	?	?
OTU1093	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU1094	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria elongata
OTU1095	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	?
OTU1096	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1097	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1098	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	p-1088-a5 gut group	?
OTU1099	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU1100	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	?
OTU1101	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	?
OTU1102	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	uncultured rumen bacterium	?
OTU1103	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	uncultured rumen bacterium	?
OTU1104	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	?
OTU1105	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1106	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia	?
OTU1107	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1108	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus	metagenome
OTU1109	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	?
OTU1110	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Endozoicomonas	?
OTU1111	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1112	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU1113	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Endozoicomonas	?
OTU1114	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1115	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Ahniella	?
OTU1116	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1117	Bacteria	Myxococcota	Polyangia	Blfdi19	uncultured Cystobacterineae bacterium	?	?
OTU1118	Bacteria	Firmicutes	?	?	?	?	?
OTU1119	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	gut metagenome
OTU1120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	?	?
OTU1121	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1122	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1123	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	?
OTU1124	Bacteria	Firmicutes	Clostridia	Lachnospirales	?	?	?
OTU1125	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	?	?	?
OTU1126	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	?
OTU1127	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1128	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU1129	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Polycyclovorans	?
OTU1130	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	?	?	?
OTU1131	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	?
OTU1132	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	vadinBE97	Bacteroidales bacterium 55_9	?
OTU1133	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1134	Bacteria	?	?	?	?	?	?
OTU1135	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-003	?
OTU1136	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	?	uncultured Acidobacteriaceae bacterium	?
OTU1137	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU1138	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	uncultured rumen bacterium
OTU1139	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU1140	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured organism	?
OTU1141	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	?
OTU1142	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	?
OTU1143	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
OTU1144	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Ileibacterium	Ileibacterium valens
OTU1145	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	?
OTU1146	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Oligosphaeraceae	Z20	?
OTU1147	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	?
OTU1148	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1149	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	Bacteroidales bacterium
OTU1150	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
OTU1151	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	?
OTU1152	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1153	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	?
OTU1154	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	?
OTU1155	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	?
OTU1156	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	?
OTU1157	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1158	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU1159	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	?
OTU1160	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae ND3007 group	metagenome
OTU1161	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	?
OTU1162	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azoarcus	?
OTU1163	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus respiraculi
OTU1164	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	?
OTU1165	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	gut metagenome
OTU1166	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1167	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	?
OTU1168	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Pseudogulbenkiania	?
OTU1169	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	?	?	?
OTU1170	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae
OTU1171	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU1172	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Citrifermentans	Geobacter bemidjiensis
OTU1173	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	?
OTU1174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	?	?	?
OTU1175	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	?
OTU1176	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter soli
OTU1177	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1178	Bacteria	Firmicutes	Bacilli	RF39	uncultured rumen bacterium	?	?
OTU1179	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	?
OTU1180	Bacteria	Firmicutes	Incertae Sedis	DTU014	?	?	?
OTU1181	Bacteria	Firmicutes	Clostridia	Oscillospirales	?	?	?
OTU1182	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU1183	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	?
OTU1184	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1185	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1186	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1187	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	uncultured Acidobacteria bacterium	?
OTU1188	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	?	?
OTU1189	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Citrifermentans	Geobacter bremensis
OTU1190	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
OTU1191	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
OTU1192	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	gut metagenome	?
OTU1193	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	?	?	?
OTU1194	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	?
OTU1195	Bacteria	Verrucomicrobiota	?	?	?	?	?
OTU1196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	Alloprevotella sp.
OTU1197	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	?
OTU1198	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU1199	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	?	?
OTU1200	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
OTU1201	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens
OTU1202	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	?	?
OTU1203	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	?
OTU1204	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales UCG-001	?	?
OTU1205	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1206	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1207	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
OTU1208	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosospira	Nitrosospira sp. Nsp65
OTU1209	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU1210	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	?
OTU1211	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU1212	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1213	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
OTU1214	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	uncultured organism	?	?
OTU1215	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	?
OTU1216	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1217	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	?	?
OTU1218	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ketogulonicigenium	Ketogulonicigenium robustum
OTU1220	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Megamonas	?
OTU1221	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
OTU1222	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	uncultured rumen bacterium	?	?
OTU1223	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1224	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	?	?
OTU1225	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	?	?
OTU1226	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU1227	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
OTU1228	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1229	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	?	?
OTU1230	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	?
OTU1231	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU1232	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	?
OTU1233	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1234	Bacteria	Desulfobacterota	?	?	?	?	?
OTU1235	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	?	?
OTU1236	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
OTU1237	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
OTU1238	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU1239	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	gut metagenome
OTU1240	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	?
OTU1241	Bacteria	Firmicutes	Bacilli	RF39	uncultured Paenibacillaceae bacterium	?	?
OTU1242	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	?
OTU1243	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU1244	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU1245	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1246	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	?	?
OTU1247	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	?
OTU1248	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	?	?
OTU1249	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	?
OTU1250	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1251	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1252	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Allisonella	Allisonella histaminiformans
OTU1253	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1254	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	?
OTU1255	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	?	?
OTU1256	Bacteria	?	?	?	?	?	?
OTU1257	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	p-251-o5	uncultured rumen bacterium	?
OTU1258	Bacteria	Desulfobacterota	?	?	?	?	?
OTU1259	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Mitsuokella	?
OTU1260	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	?
OTU1261	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	?	?
OTU1262	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-010	?
OTU1263	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	uncultured Steroidobacter sp.
OTU1264	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU1265	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU1266	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1267	Bacteria	Firmicutes	?	?	?	?	?
OTU1268	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
OTU1269	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU1270	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	?
OTU1271	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	?
OTU1272	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1273	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1274	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	?
OTU1275	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	?	?
OTU1276	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	bacterium MI-37
OTU1277	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1278	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
OTU1279	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	?
OTU1280	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1281	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1282	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1283	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	?
OTU1284	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	?
OTU1285	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	alpha proteobacterium
OTU1286	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU1287	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1288	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	uncultured beta proteobacterium
OTU1289	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax temperans
OTU1290	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	?
